run_id,config,t0_s,t1_s,n_points,k2_v2_term_ms2_per_ms2,k1_v_term_ms2_per_ms,c_const_ms2,r2,CdA_m2,Cd,Cr,Fd_10ms_N,Fd_15ms_N,Fd_20ms_N
1,full,380.06,396.31,720,0.0014626855367630882,0.0,0.29239634969289063,0.6416820809385191,0.6686562453774118,0.5572135378145098,0.029816129839740448,40.95519502936647,92.14918881607456,163.8207801174659
2,full,434.84,442.19,631,0.0018389135420831388,0.0,0.16632147177451903,0.7334702331802228,0.8406461906665776,0.700538492222148,0.016960070133482795,51.48957917832788,115.85155315123774,205.95831671331152
3,full,529.58,540.27,845,0.0012390903592478374,0.0,0.29775323368818324,0.507994763709696,0.5664413070847256,0.4720344225706047,0.03036237998584463,34.69453005893945,78.06269263261376,138.7781202357578
4,full,562.86,569.28,537,0.0014572349264216206,0.0,0.21389204908278503,0.7025318459833876,0.6661645377927409,0.5551371148272841,0.02181091902767867,40.80257793980538,91.8058003645621,163.21031175922153
5,full,611.33,623.71,818,0.0016297734397977485,0.0,0.24824198090461524,0.6926176440122936,0.745039286764685,0.6208660723039042,0.025313637267019344,45.63365631433696,102.67572670725816,182.53462525734784
6,full,649.6,657.69,681,0.0013618360108578283,0.0,0.20579258799497485,0.744535703997474,0.6225536049635786,0.5187946708029821,0.020985003848916283,38.131408304019196,85.79566868404318,152.52563321607678
7,full,701.54,712.6,884,0.0014475905826817669,0.0,0.24612427082691268,0.5534431163660721,0.6617556949402362,0.5514630791168635,0.02509769093695734,40.53253631508947,91.19820670895132,162.1301452603579
8,full,737.2,745.11,663,0.0014515344190213538,0.0,0.1868366914195541,0.7750603114305183,0.6635585915526189,0.5529654929605158,0.01905204034196735,40.642963732597906,91.4466683983453,162.57185493039162
9,full,805.1,817.46,775,0.001514201200818593,0.0,0.25613444151840264,0.7201194560717368,0.6922062632313568,0.5768385526927974,0.026118444271836218,42.39763362292061,95.39467565157136,169.59053449168243
10,full,837.0500000000001,845.15,650,0.0013890880463625589,0.0,0.18155177610417889,0.7200783427370208,0.6350116783371698,0.5291763986143082,0.018513128958837003,38.89446529815165,87.5125469208412,155.5778611926066
11,full,880.69,891.4300000000001,816,0.0013928142948128393,0.0,0.25175544177233594,0.6858410533587566,0.6367151062001551,0.5305959218334626,0.025671910568067176,38.99880025475951,87.74730057320889,155.99520101903803
12,full,912.77,920.3,647,0.001173284413648939,0.0,0.2175212459850783,0.4999179479875391,0.5363585890966578,0.4469654909138815,0.022180994119814442,32.85196358217029,73.91691805988316,131.40785432868117
13,no_rear,1794.8100000000002,1805.88,925,0.0010827710087900095,0.0,0.24640576904234893,0.4244873920108748,0.49498103258971854,0.4124841938247655,0.025126395766377808,30.317588246120263,68.21457355377059,121.27035298448105
14,no_rear,1827.97,1835.07,559,0.0010421802803850634,0.0,0.2215795045768249,0.5337484263537312,0.47642527103317184,0.39702105919430986,0.02259482132806054,29.181047850781777,65.657357664259,116.72419140312711
15,no_rear,1870.52,1882.76,955,0.001048304600393381,0.0,0.25439777486948106,0.5352190351081783,0.47922496017983124,0.3993541334831927,0.025941353557991882,29.352528811014665,66.043189824783,117.41011524405866
16,no_rear,1908.28,1915.05,564,0.0013748564900736588,0.0,0.1392794668403475,0.5510578749329474,0.6285058240336725,0.5237548533613938,0.01420255304720241,38.495981722062446,86.6159588746405,153.98392688824978
17,no_rear,1934.09,1944.53,895,0.000962124445957907,0.0,0.2613390682645992,0.35486926749307435,0.43982831815218604,0.36652359846015503,0.026649168499395737,26.939484486821396,60.613840095348145,107.75793794728558
