pair_label,config,run_ids,run_id_low,run_id_high,n_runs,n_points,k2_v2_term_ms2_per_ms2,k1_v_term_ms2_per_ms,c_const_ms2,r2_mean,CdA_m2,Cd,Cr,Fd_10ms_N,Fd_15ms_N,Fd_20ms_N
full_pair_001-002,full,"1,2",1,2,2,1351,0.001650799539423072,0.0,0.22935891073370313,0.6875761570593628,0.7546512180219758,0.6288760150183131,0.023388099986611448,46.22238710384602,104.00037098365354,184.88954841538407
full_pair_003-004,full,"3,4",3,4,2,1382,0.001348162642834711,0.0,0.2558226413854794,0.6052633048465329,0.616302922438725,0.5135857686989375,0.026086649506761168,37.74855399937191,84.93424649858679,150.99421599748763
full_pair_005-006,full,"5,6",5,6,2,1499,0.0014958047253277383,0.0,0.22701728444979308,0.7185766740048626,0.6837964458641089,0.5698303715534241,0.023149320557967614,41.882532309176675,94.23569769564752,167.5301292367067
full_pair_007-008,full,"7,8",7,8,2,1547,0.0014495625008515258,0.0,0.21648048112322965,0.6642517138982766,0.6626571432464118,0.5522142860386765,0.022074865639461965,40.58775002384272,91.32243755364613,162.3510000953709
full_pair_009-010,full,"9,10",9,10,2,1425,0.0014516446235905418,0.0,0.21884310881128818,0.7200988994043588,0.6636089707842476,0.5530074756535397,0.02231578661533635,40.646049460535174,91.45361128620414,162.5841978421407
full_pair_011-012,full,"11,12",11,12,2,1463,0.0012830493542308622,0.0,0.23463834387870486,0.5928795006731387,0.5865368476483941,0.4887807063736618,0.023926452343940578,35.92538191846414,80.83210931654432,143.70152767385656
no_front_pair_037-038,no_front,"37,38",37,38,2,1572,0.0013626348944880016,0.0,0.22723884923169774,0.6747653091840801,0.6229188089088007,0.5190990074240006,0.023171913878000924,38.15377704566404,85.8459983527441,152.61510818265617
no_front_pair_039-040,no_front,"39,40",39,40,2,1621,0.0013604594761697382,0.0,0.20456404438198134,0.6550174933801245,0.6219243319633089,0.5182702766360907,0.020859727264864285,38.09286533275267,85.70894699869352,152.3714613310107
no_front_pair_041-042,no_front,"41,42",41,42,2,1745,0.0012999226928316209,0.0,0.21903839414838522,0.5402741502521173,0.5942503738658838,0.49520864488823646,0.02233570017777582,36.397835399285384,81.89512964839211,145.59134159714154
no_front_pair_043-044,no_front,"43,44",43,44,2,1697,0.0012087835683599253,0.0,0.21148252517562732,0.5908050246040925,0.5525867741073943,0.4604889784228286,0.021565215968310007,33.8459399140779,76.15336480667528,135.3837596563116
no_front_pair_045-046,no_front,"45,46",45,46,2,1738,0.001439957644503287,0.0,0.20136768133932031,0.6082864215313595,0.6582663517729312,0.5485552931441094,0.020533788943147797,40.318814046092044,90.7173316037071,161.27525618436817
no_front_rear_pair_025-026,no_front_rear,"25,26",25,26,2,1798,0.0010042403117861663,0.0,0.21380002781121688,0.4930121636601828,0.45908128538796167,0.3825677378233014,0.021801535469422983,28.118728730012656,63.26713964252847,112.47491492005062
no_front_rear_pair_027-028,no_front_rear,"27,28",27,28,2,1787,0.00102493681409238,0.0,0.20589688892183905,0.52667943435351,0.468542543585088,0.39045211965424004,0.020995639583531487,28.698230794586642,64.57101928781995,114.79292317834657
no_front_rear_pair_029-030,no_front_rear,"29,30",29,30,2,1881,0.0012056754596970205,0.0,0.18132125132643362,0.5873983062372039,0.5511659244329236,0.4593049370274363,0.018489621973501003,33.75891287151657,75.95755396091229,135.03565148606629
no_front_rear_pair_031-032,no_front_rear,"31,32",31,32,2,1681,0.000937795718483977,0.0,0.21042623394989535,0.43028014506084933,0.42870661416410377,0.3572555118034198,0.021457504239459486,26.258280117551358,59.081130264490554,105.03312047020543
no_front_rear_pair_033-034,no_front_rear,"33,34",33,34,2,1960,0.0009638941475187588,0.0,0.20491566436385894,0.398623903023623,0.440637324580004,0.3671977704833367,0.020895582524497046,26.989036130525246,60.725331293681805,107.95614452210098
no_front_rear_pair_035-036,no_front_rear,"35,36",35,36,2,1900,0.0011413513807216813,0.0,0.19152258338719635,0.5168401031653673,0.5217606311870543,0.43480052598921193,0.019529868343134135,31.957838660207077,71.90513698546593,127.83135464082831
no_rear_pair_013-014,no_rear,"13,14",13,14,2,1484,0.001062475644587497,0.0,0.2339926368095861,0.47911790918228264,0.4857031518114272,0.4047526265095227,0.02386060854721909,29.74931804844992,66.93596560901231,118.99727219379967
no_rear_pair_015-016,no_rear,"15,16",15,16,2,1519,0.0012115805452334732,0.0,0.196838620854916,0.5431384550205447,0.5538653921067306,0.4615544934222755,0.02007195330259732,33.92425526653725,76.32957434970882,135.697021066149
no_rear_pair_017-018,no_rear,"17,18",17,18,2,1629,0.0010571077792626837,0.0,0.22702919309765304,0.5120353629845806,0.483249270520084,0.40270772543340333,0.02315053490209736,29.599017819355144,66.59779009354908,118.39607127742057
no_rear_pair_019-020,no_rear,"19,20",19,20,2,1657,0.0011118186331707566,0.0,0.20844181329165806,0.5800383114823682,0.5082599465923459,0.42354995549362157,0.021255149647602195,31.130921728781185,70.04457388975767,124.52368691512474
no_rear_pair_021-022,no_rear,"21,22",21,22,2,1741,0.0011219947581238997,0.0,0.20591647896412785,0.5628119958207494,0.5129118894280684,0.4274265745233904,0.02099763721190497,31.415853227469192,70.68566976180568,125.66341290987677
no_rear_pair_023-024,no_rear,"23,24",23,24,2,1911,0.0011416052602529272,0.0,0.20396564035427883,0.5536335017744014,0.5218766904013381,0.4348972420011151,0.020798707035968332,31.964947287081962,71.92113139593441,127.85978914832785
