pair_label,config,run_ids,run_id_low,run_id_high,n_runs,n_points,k2_v2_term_ms2_per_ms2,k1_v_term_ms2_per_ms,c_const_ms2,r2_mean,CdA_m2,Cd,Cr,Fd_10ms_N,Fd_15ms_N,Fd_20ms_N
full_pair_001-002,full,"1,2",1,2,2,1279,-0.001431728955084055,0.0700389883862603,-0.13222094187713787,0.7514200144041674,-0.6545046651812823,-0.5454205543177353,-0.01348278381273298,-40.088410742353545,-90.19892417029547,-160.35364296941418
full_pair_003-004,full,"3,4",3,4,2,1467,-0.0027317407595983585,0.10120946685731289,-0.3289316676437022,0.6032915481706821,-1.2487957758163923,-1.0406631465136604,-0.033541695445815055,-76.48874126875404,-172.09966785469658,-305.95496507501616
full_pair_005-006,full,"5,6",5,6,2,1497,-0.00046638710752673303,0.04477144237881032,0.00044473658459294463,0.7229778969609337,-0.21320553486936364,-0.17767127905780303,4.535051058138555e-05,-13.058839010748525,-29.382387774184178,-52.2353560429941
full_pair_007-008,full,"7,8",7,8,2,1518,-0.0014726287079314102,0.06679937994869116,-0.1225431233216458,0.6778779424155107,-0.6732016950543589,-0.5610014125452991,-0.01249592096400359,-41.23360382207949,-92.77560859967883,-164.93441528831795
full_pair_009-010,full,"9,10",9,10,2,1459,-0.0006292338004178147,0.04828233201627527,-0.03635532150549371,0.7315579807664473,-0.2876497373338581,-0.23970811444488177,-0.0037072110767177083,-17.618546411698812,-39.64172942632233,-70.47418564679525
full_pair_011-012,full,"11,12",11,12,2,1443,-0.002318287647449223,0.08953565075213478,-0.2806788188943975,0.6892417574653675,-1.0597886388339304,-0.8831571990282754,-0.02862127422661128,-64.91205412857825,-146.05212178930105,-259.648216514313
no_front_pair_037-038,no_front,"37,38",37,38,2,1570,-0.0007015124038188915,0.04547146291367574,0.0026647345207025715,0.6650110677474254,-0.3206913846029218,-0.26724282050243486,0.0002717272994042381,-19.64234730692896,-44.195281440590165,-78.56938922771585
no_front_pair_039-040,no_front,"39,40",39,40,2,1630,-0.0009782608523061678,0.04796677439306841,-0.009456728531149813,0.5965057481418921,-0.44720496105424806,-0.37267080087854004,-0.0009643179404944413,-27.3913038645727,-61.630433695288566,-109.5652154582908
no_front_pair_041-042,no_front,"41,42",41,42,2,1749,-0.0008377079761533264,0.045587111707071276,0.007215479491061369,0.5101613201326605,-0.382952217670092,-0.31912684805841,0.0007357741421445008,-23.45582333229314,-52.77560249765956,-93.82329332917256
no_front_pair_043-044,no_front,"43,44",43,44,2,1715,-0.0006060676881420394,0.04076988686968498,0.015000491862400926,0.5873861147453867,-0.277059514579218,-0.23088292881601502,0.0015296244754733704,-16.969895267977105,-38.182264352948486,-67.87958107190842
no_front_pair_045-046,no_front,"45,46",45,46,2,1723,-0.001238573837045087,0.05551007091961807,-0.05686661489748531,0.5803257855194088,-0.5662051826491826,-0.4718376522076522,-0.005798780918813796,-34.68006743726244,-78.0301517338405,-138.72026974904975
no_front_rear_pair_025-026,no_front_rear,"25,26",25,26,2,1820,-0.002017142688682383,0.06918270342459805,-0.14081866534772092,0.5286261650283418,-0.9221223719690893,-0.7684353099742411,-0.01435950761449842,-56.47999528310672,-127.07998938699012,-225.91998113242687
no_front_rear_pair_027-028,no_front_rear,"27,28",27,28,2,1864,-0.0017277868988924581,0.05785223545700511,-0.07167415753483004,0.4548828670192163,-0.7898454394936951,-0.6582045329114127,-0.007308730048980034,-48.378033168988836,-108.85057463022487,-193.51213267595534
no_front_rear_pair_029-030,no_front_rear,"29,30",29,30,2,1909,-0.0008863146651650765,0.04625908111186052,-0.043793486631429665,0.5597791468371374,-0.4051724183611778,-0.33764368196764816,-0.0044656928340900985,-24.81681062462214,-55.837823905399816,-99.26724249848856
no_front_rear_pair_031-032,no_front_rear,"31,32",31,32,2,1676,-0.002851983423932311,0.0878816376790727,-0.2577502221074217,0.4686834321510912,-1.303763850940485,-1.0864698757837374,-0.026283208038159995,-79.85553587010472,-179.6749557077356,-319.42214348041887
no_front_rear_pair_033-034,no_front_rear,"33,34",33,34,2,1917,-0.0016841023957819001,0.06054484441896521,-0.09701114520047911,0.4246212356107263,-0.7698753809288685,-0.6415628174407239,-0.009892383760048449,-47.1548670818932,-106.0984509342597,-188.6194683275728
no_front_rear_pair_035-036,no_front_rear,"35,36",35,36,2,1886,-0.002718522629453467,0.07974296956017483,-0.1735924457189303,0.41775665438824877,-1.2427532020358705,-1.0356276683632255,-0.017701503135008418,-76.11863362469707,-171.26692565556843,-304.4745344987883
no_rear_pair_013-014,no_rear,"13,14",13,14,2,1511,-0.002329392002551025,0.08080353838534471,-0.19524968250465352,0.49624568641449796,-1.064864915451897,-0.8873874295432476,-0.019909926682878814,-65.22297607142869,-146.75169616071457,-260.89190428571476
no_rear_pair_015-016,no_rear,"15,16",15,16,2,1509,-0.0022739995284932406,0.08714139717819237,-0.3100829609758606,0.554977021700535,-1.0395426415969098,-0.8662855346640915,-0.03161966226752873,-63.67198679781073,-143.26197029507415,-254.68794719124293
no_rear_pair_017-018,no_rear,"17,18",17,18,2,1617,-0.0018061817591807526,0.07011783859835541,-0.16208016824092464,0.5686307070921321,-0.8256830899112012,-0.6880692415926677,-0.016527577535746116,-50.57308925706108,-113.78945082838742,-202.2923570282443
no_rear_pair_019-020,no_rear,"19,20",19,20,2,1680,-0.0018567210398499347,0.07008465497285093,-0.17052222336853448,0.5748010549960706,-0.8487867610742559,-0.7073223008952133,-0.017388427584193837,-51.98818911579818,-116.9734255105459,-207.9527564631927
no_rear_pair_021-022,no_rear,"21,22",21,22,2,1757,-0.00151671048754213,0.06353226325157871,-0.13421654682349854,0.6078631755219146,-0.6933533657335451,-0.5777944714446209,-0.013686278884583273,-42.46789365117964,-95.55276071515419,-169.87157460471855
no_rear_pair_023-024,no_rear,"23,24",23,24,2,1893,-0.0007630835627275456,0.043447973049738284,-0.006072589907664197,0.561682203333892,-0.3488382001040208,-0.290698500086684,-0.0006192318383611322,-21.366339756371275,-48.07426445183537,-85.4653590254851
